match_id,season_id,league_id,matchday,home_team_id,away_team_id,winner,utc_date
435943,1,1,1,328,65,AWAY_TEAM,2023-08-11
435944,1,1,1,57,351,HOME_TEAM,2023-08-12
435945,1,1,1,1044,563,DRAW,2023-08-12
435946,1,1,1,397,389,HOME_TEAM,2023-08-12
435947,1,1,1,62,63,AWAY_TEAM,2023-08-12
435948,1,1,1,356,354,AWAY_TEAM,2023-08-12
435949,1,1,1,67,58,HOME_TEAM,2023-08-12
435950,1,1,1,402,73,DRAW,2023-08-13
435951,1,1,1,61,64,DRAW,2023-08-13
435952,1,1,1,66,76,HOME_TEAM,2023-08-14
435959,1,1,2,351,356,HOME_TEAM,2023-08-18
435955,1,1,2,63,402,AWAY_TEAM,2023-08-19
435956,1,1,2,64,1044,HOME_TEAM,2023-08-19
435962,1,1,2,76,397,AWAY_TEAM,2023-08-19
435960,1,1,2,73,66,HOME_TEAM,2023-08-19
435958,1,1,2,65,67,HOME_TEAM,2023-08-19
435953,1,1,2,58,62,HOME_TEAM,2023-08-20
435961,1,1,2,563,61,HOME_TEAM,2023-08-20
435954,1,1,2,354,57,AWAY_TEAM,2023-08-21
435968,1,1,3,61,389,HOME_TEAM,2023-08-25
435963,1,1,3,1044,73,AWAY_TEAM,2023-08-26
435969,1,1,3,62,76,AWAY_TEAM,2023-08-26
435970,1,1,3,66,351,HOME_TEAM,2023-08-26
435964,1,1,3,57,63,DRAW,2023-08-26
435965,1,1,3,402,354,DRAW,2023-08-26
435966,1,1,3,397,563,AWAY_TEAM,2023-08-26
435972,1,1,3,356,65,AWAY_TEAM,2023-08-27
435967,1,1,3,328,58,AWAY_TEAM,2023-08-27
435971,1,1,3,67,64,AWAY_TEAM,2023-08-27
435980,1,1,4,389,563,AWAY_TEAM,2023-09-01
435982,1,1,4,356,62,DRAW,2023-09-02
435974,1,1,4,402,1044,DRAW,2023-09-02
435976,1,1,4,328,73,AWAY_TEAM,2023-09-02
435977,1,1,4,61,351,AWAY_TEAM,2023-09-02
435981,1,1,4,65,63,HOME_TEAM,2023-09-02
435975,1,1,4,397,67,HOME_TEAM,2023-09-02
435978,1,1,4,354,76,HOME_TEAM,2023-09-03
435979,1,1,4,64,58,HOME_TEAM,2023-09-03
435973,1,1,4,57,66,HOME_TEAM,2023-09-03
435992,1,1,5,76,64,AWAY_TEAM,2023-09-16
435984,1,1,5,58,354,HOME_TEAM,2023-09-16
435986,1,1,5,63,389,HOME_TEAM,2023-09-16
435987,1,1,5,66,397,AWAY_TEAM,2023-09-16
435990,1,1,5,73,356,HOME_TEAM,2023-09-16
435991,1,1,5,563,65,AWAY_TEAM,2023-09-16
435988,1,1,5,67,402,HOME_TEAM,2023-09-16
435983,1,1,5,1044,61,DRAW,2023-09-17
435985,1,1,5,62,57,AWAY_TEAM,2023-09-17
435989,1,1,5,351,328,DRAW,2023-09-18
435998,1,1,6,354,63,DRAW,2023-09-23
436000,1,1,6,389,76,DRAW,2023-09-23
436001,1,1,6,65,351,HOME_TEAM,2023-09-23
435994,1,1,6,402,62,AWAY_TEAM,2023-09-23
435996,1,1,6,328,66,AWAY_TEAM,2023-09-23
435993,1,1,6,57,73,DRAW,2023-09-24
435995,1,1,6,397,1044,HOME_TEAM,2023-09-24
435997,1,1,6,61,58,AWAY_TEAM,2023-09-24
435999,1,1,6,64,563,HOME_TEAM,2023-09-24
436002,1,1,6,356,67,AWAY_TEAM,2023-09-24
436004,1,1,7,58,397,HOME_TEAM,2023-09-30
436003,1,1,7,1044,57,AWAY_TEAM,2023-09-30
436005,1,1,7,62,389,AWAY_TEAM,2023-09-30
436007,1,1,7,66,354,AWAY_TEAM,2023-09-30
436008,1,1,7,67,328,HOME_TEAM,2023-09-30
436011,1,1,7,563,356,HOME_TEAM,2023-09-30
436012,1,1,7,76,65,HOME_TEAM,2023-09-30
436010,1,1,7,73,64,HOME_TEAM,2023-09-30
436009,1,1,7,351,402,DRAW,2023-10-01
436006,1,1,7,63,61,AWAY_TEAM,2023-10-02
435957,1,1,2,389,328,AWAY_TEAM,2023-10-03
436019,1,1,8,389,73,AWAY_TEAM,2023-10-07
436015,1,1,8,328,61,AWAY_TEAM,2023-10-07
436017,1,1,8,62,1044,HOME_TEAM,2023-10-07
436018,1,1,8,63,356,HOME_TEAM,2023-10-07
436020,1,1,8,66,402,HOME_TEAM,2023-10-07
436016,1,1,8,354,351,DRAW,2023-10-07
436014,1,1,8,397,64,DRAW,2023-10-08
436021,1,1,8,563,67,DRAW,2023-10-08
436022,1,1,8,76,58,DRAW,2023-10-08
436013,1,1,8,57,65,HOME_TEAM,2023-10-08
436027,1,1,9,64,62,HOME_TEAM,2023-10-21
436023,1,1,9,1044,76,AWAY_TEAM,2023-10-21
436025,1,1,9,402,328,HOME_TEAM,2023-10-21
436028,1,1,9,65,397,HOME_TEAM,2023-10-21
436029,1,1,9,67,354,HOME_TEAM,2023-10-21
436030,1,1,9,351,389,DRAW,2023-10-21
436026,1,1,9,61,57,DRAW,2023-10-21
436031,1,1,9,356,66,AWAY_TEAM,2023-10-21
436024,1,1,9,58,563,HOME_TEAM,2023-10-22
436032,1,1,9,73,63,HOME_TEAM,2023-10-23
436038,1,1,10,354,73,AWAY_TEAM,2023-10-27
436037,1,1,10,61,402,AWAY_TEAM,2023-10-28
436033,1,1,10,1044,328,HOME_TEAM,2023-10-28
436034,1,1,10,57,356,HOME_TEAM,2023-10-28
436042,1,1,10,76,67,DRAW,2023-10-28
436041,1,1,10,563,62,AWAY_TEAM,2023-10-29
436035,1,1,10,58,389,HOME_TEAM,2023-10-29
436036,1,1,10,397,63,DRAW,2023-10-29
436039,1,1,10,64,351,HOME_TEAM,2023-10-29
436040,1,1,10,66,65,AWAY_TEAM,2023-10-29
436046,1,1,11,63,66,AWAY_TEAM,2023-11-04
436043,1,1,11,402,563,HOME_TEAM,2023-11-04
436044,1,1,11,328,354,AWAY_TEAM,2023-11-04
436045,1,1,11,62,397,DRAW,2023-11-04
436048,1,1,11,65,1044,HOME_TEAM,2023-11-04
436051,1,1,11,356,76,HOME_TEAM,2023-11-04
436049,1,1,11,67,57,HOME_TEAM,2023-11-04
436050,1,1,11,351,58,HOME_TEAM,2023-11-05
436047,1,1,11,389,64,DRAW,2023-11-05
436052,1,1,11,73,61,AWAY_TEAM,2023-11-06
436062,1,1,12,76,73,HOME_TEAM,2023-11-11
436054,1,1,12,57,328,HOME_TEAM,2023-11-11
436058,1,1,12,354,62,AWAY_TEAM,2023-11-11
436060,1,1,12,66,389,HOME_TEAM,2023-11-11
436053,1,1,12,1044,67,HOME_TEAM,2023-11-11
436055,1,1,12,58,63,HOME_TEAM,2023-11-12
436056,1,1,12,397,356,DRAW,2023-11-12
436059,1,1,12,64,402,HOME_TEAM,2023-11-12
436061,1,1,12,563,351,HOME_TEAM,2023-11-12
436057,1,1,12,61,65,DRAW,2023-11-12
436068,1,1,13,65,64,DRAW,2023-11-25
436064,1,1,13,328,563,AWAY_TEAM,2023-11-25
436067,1,1,13,389,354,HOME_TEAM,2023-11-25
436069,1,1,13,67,61,HOME_TEAM,2023-11-25
436070,1,1,13,351,397,AWAY_TEAM,2023-11-25
436071,1,1,13,356,1044,AWAY_TEAM,2023-11-25
436063,1,1,13,402,57,AWAY_TEAM,2023-11-25
436072,1,1,13,73,58,AWAY_TEAM,2023-11-26
