score_id,match_id,full_time_home,full_time_away,half_time_home,half_time_away
1,435943,0,3,0,2
2,435944,2,1,2,0
3,435945,1,1,0,0
4,435946,4,1,1,0
5,435947,0,1,0,0
6,435948,0,1,0,0
7,435949,5,1,2,1
8,435950,2,2,2,2
9,435951,1,1,1,1
10,435952,1,0,0,0
11,435959,2,1,1,0
12,435955,0,3,0,1
13,435956,3,1,2,1
14,435962,1,4,0,1
15,435960,2,0,0,0
16,435958,1,0,1,0
17,435953,4,0,2,0
18,435961,3,1,1,1
19,435954,0,1,0,0
20,435968,3,0,1,0
21,435963,0,2,0,1
22,435969,0,1,0,0
23,435970,3,2,1,2
24,435964,2,2,0,1
25,435965,1,1,1,0
26,435966,1,3,0,1
27,435972,1,2,0,0
28,435967,1,3,0,2
29,435971,1,2,1,0
30,435980,1,2,0,1
31,435982,2,2,2,1
32,435974,2,2,1,1
33,435976,2,5,1,2
34,435977,0,1,0,0
35,435981,5,1,2,1
36,435975,3,1,1,0
37,435978,3,2,0,0
38,435979,3,0,2,0
39,435973,3,1,1,1
40,435992,1,3,1,0
41,435984,3,1,0,0
42,435986,1,0,0,0
43,435987,1,3,0,1
44,435990,2,1,0,0
45,435991,1,3,1,0
46,435988,1,0,0,0
47,435983,0,0,0,0
48,435985,0,1,0,0
49,435989,1,1,0,1
50,435998,0,0,0,0
51,436000,1,1,0,0
52,436001,2,0,2,0
53,435994,1,3,1,1
54,435996,0,1,0,1
55,435993,2,2,1,1
56,435995,3,1,1,1
57,435997,0,1,0,0
58,435999,3,1,1,1
59,436002,0,8,0,3
60,436004,6,1,3,0
61,436003,0,4,0,2
62,436005,1,2,1,2
63,436007,0,1,0,1
64,436008,2,0,1,0
65,436011,2,0,2,0
66,436012,2,1,1,0
67,436010,2,1,1,1
68,436009,1,1,0,0
69,436006,0,2,0,2
70,435957,1,2,0,1
71,436019,0,1,0,0
72,436015,1,4,1,1
73,436017,3,0,2,0
74,436018,3,1,0,0
75,436020,2,1,0,1
76,436016,0,0,0,0
77,436014,2,2,1,2
78,436021,2,2,1,0
79,436022,1,1,0,0
80,436013,1,0,0,0
81,436027,2,0,0,0
82,436023,1,2,1,0
83,436025,3,0,1,0
84,436028,2,1,2,0
85,436029,4,0,3,0
86,436030,2,2,0,0
87,436026,2,2,1,0
88,436031,1,2,1,1
89,436024,4,1,1,0
90,436032,2,0,1,0
91,436038,1,2,0,0
92,436037,0,2,0,0
93,436033,2,1,1,1
94,436034,5,0,1,0
95,436042,2,2,1,2
96,436041,0,1,0,0
97,436035,3,1,1,0
98,436036,1,1,1,0
99,436039,3,0,2,0
100,436040,0,3,0,1
101,436046,0,1,0,0
102,436043,3,2,1,2
103,436044,0,2,0,1
104,436045,1,1,1,0
105,436048,6,1,3,0
106,436051,2,1,0,0
107,436049,1,0,0,0
108,436050,2,0,1,0
109,436047,1,1,0,0
110,436052,1,4,1,1
111,436062,2,1,0,1
112,436054,3,1,1,0
113,436058,2,3,1,1
114,436060,1,0,0,0
115,436053,2,0,0,0
116,436055,3,1,2,0
117,436056,1,1,1,0
118,436059,3,0,1,0
119,436061,3,2,1,1
120,436057,4,4,2,2
121,436068,1,1,1,0
122,436064,1,2,0,0
123,436067,2,1,0,0
124,436069,4,1,1,1
125,436070,2,3,1,2
126,436071,1,3,0,2
127,436063,0,1,0,0
128,436072,1,2,1,1
129,436065,0,3,0,1
130,436066,3,2,1,1
131,436074,2,1,2,0
132,436075,3,1,0,0
133,436076,5,0,2,0
134,436081,0,1,0,0
135,436080,1,0,0,0
136,436073,2,2,1,1
137,436077,3,2,2,1
138,436078,4,3,2,2
139,436082,1,1,1,0
140,436079,3,3,2,1
141,436090,1,0,1,0
142,436087,3,4,1,2
143,436084,2,1,1,1
144,436086,5,0,2,0
145,436088,0,2,0,1
146,436091,0,2,0,1
147,436083,1,0,0,0
148,436092,2,1,1,1
149,436085,3,0,0,0
150,436089,1,2,1,0
151,436095,1,2,0,0
152,436094,1,1,0,1
153,436099,0,3,0,1
154,436100,1,0,1,0
155,436102,1,1,1,1
156,436093,1,0,1,0
157,436096,2,0,0,0
158,436097,5,0,3,0
159,436098,1,2,1,0
160,436101,4,1,2,0
161,436111,0,2,0,1
162,436107,2,0,0,0
163,436109,2,2,1,0
164,436110,3,0,0,0
165,436106,0,2,0,2
166,436104,2,0,0,0
167,436105,1,2,1,0
168,436112,3,0,2,0
169,436108,0,0,0,0
170,436114,1,1,1,0
171,436113,1,1,0,0
172,436121,2,0,0,0
173,436115,0,2,0,0
174,436117,1,0,1,0
175,436119,2,3,0,0
176,436120,2,1,2,0
177,436116,1,1,1,1
178,436122,2,1,0,0
179,436131,1,3,1,1
180,436123,3,0,1,0
181,436132,2,3,0,1
182,436127,0,2,0,1
183,436130,3,2,0,2
184,436125,1,4,1,3
185,436128,2,1,1,1
186,436129,1,3,1,0
187,436126,4,2,2,0
188,436124,0,2,0,1
189,436137,2,3,0,2
190,436133,3,2,2,1
191,436134,3,1,2,1
192,436138,2,0,1,0
193,436142,3,0,1,0
194,436139,2,1,0,0
195,436135,2,1,1,1
196,436140,3,1,1,0
197,436136,4,2,0,0
198,436141,0,0,0,0
199,436147,1,1,1,0
200,436148,1,0,1,0
201,436151,2,3,2,1
202,436149,0,0,0,0
203,436150,2,2,2,1
204,436144,5,0,2,0
205,436145,3,2,1,1
206,436152,2,2,1,1
207,436143,0,4,0,0
208,436146,0,0,0,0
209,436153,1,2,0,0
210,436155,4,0,3,0
211,436156,0,0,0,0
212,436157,3,2,2,2
213,436158,1,3,0,2
214,436159,3,2,0,1
215,436161,3,1,2,0
216,436162,4,1,2,0
217,436154,1,1,0,1
218,436160,3,4,0,2
219,436169,2,2,1,2
220,436166,4,1,3,0
221,436167,2,2,0,2
222,436171,4,4,2,2
223,436172,0,5,0,4
224,436163,1,1,1,1
225,436168,2,4,1,2
226,436170,3,0,1,0
227,436164,3,1,1,1
228,436165,1,3,1,1
229,436178,2,0,0,0
230,436175,3,1,2,0
231,436176,3,1,1,1
232,436177,1,3,0,2
233,436180,2,1,0,1
234,436182,0,2,0,1
235,436179,2,3,2,2
236,436181,0,6,0,4
237,436173,1,2,0,1
238,436174,1,3,1,0
239,436183,1,4,0,1
240,436184,0,5,0,2
241,436186,1,2,0,1
242,436189,2,2,0,0
243,436190,2,0,1,0
244,436192,1,2,0,1
245,436188,1,1,0,1
246,436191,0,5,0,2
247,436187,1,2,1,2
248,436185,1,1,0,0
249,436118,1,0,0,0
250,436199,4,1,0,1
251,436195,4,2,3,1
252,436196,1,1,0,0
253,436198,3,0,0,0
254,436200,1,2,0,0
255,436193,0,1,0,1
256,436194,4,1,2,0
257,436202,1,0,1,0
258,436201,4,2,2,1
259,436203,2,2,0,1
260,436205,1,3,0,0
261,436206,3,0,2,0
262,436209,3,0,2,0
263,436210,0,1,0,0
264,436212,3,1,0,0
265,436207,2,3,0,2
266,436204,0,2,0,1
267,436208,3,1,0,1
268,436211,0,6,0,5
269,436220,2,0,2,0
270,436213,2,2,0,1
271,436218,1,1,1,0
272,436222,2,1,0,0
273,436214,2,1,1,1
274,436215,0,4,0,0
275,436216,1,0,1,0
276,436221,2,2,0,2
277,436219,1,1,0,1
278,436217,3,2,1,1
279,436103,4,3,0,3
280,436225,2,1,1,0
281,436229,1,1,0,1
282,436228,3,0,1,0
283,436231,1,1,1,0
284,436239,4,3,1,2
285,436233,2,1,0,0
286,436236,2,2,1,0
287,436240,1,1,0,1
288,436241,3,3,0,0
289,436242,2,1,0,1
290,436234,2,0,1,0
291,436235,1,1,0,0
292,436237,2,1,1,1
293,436238,0,0,0,0
294,436247,3,1,3,0
295,436250,1,1,1,0
296,436243,1,0,0,0
297,436246,1,1,1,1
298,436248,1,1,1,1
299,436244,2,0,2,0
300,436245,0,0,0,0
301,436252,4,1,2,1
302,436251,3,1,1,0
303,436249,4,3,2,2
304,436255,2,4,1,1
305,436253,3,3,1,0
306,436256,1,0,1,0
307,436257,0,1,0,0
308,436258,2,1,0,0
309,436262,1,2,1,0
310,436254,0,3,0,1
311,436259,2,2,0,1
312,436260,2,2,1,1
313,436261,3,1,1,1
314,436270,4,0,2,0
315,436265,2,0,0,0
316,436266,1,1,0,0
317,436269,5,1,1,0
318,436271,2,2,1,1
319,436263,2,2,2,1
320,436268,0,1,0,1
321,436272,0,2,0,1
322,436264,0,2,0,0
323,436267,6,0,4,0
324,436278,1,5,0,2
325,436280,1,4,0,2
326,436282,0,2,0,1
327,436276,2,0,1,0
328,436273,3,1,1,1
329,436275,5,2,4,1
330,436277,1,3,1,1
331,436223,5,0,1,0
332,436232,0,1,0,1
333,436226,2,0,0,0
334,436227,2,0,1,0
335,436230,4,2,1,1
336,436224,0,4,0,3
337,436291,2,2,1,0
338,436286,1,1,0,0
339,436287,1,1,0,0
340,436288,5,1,1,1
341,436292,2,1,1,0
342,436285,1,0,0,0
343,436284,2,2,2,0
344,436283,3,0,1,0
345,436290,2,3,0,3
346,436289,0,2,0,1
347,436197,2,0,1,0
348,436300,1,1,1,1
349,436293,3,0,1,0
350,436294,0,0,0,0
351,436296,1,4,0,3
352,436302,1,3,1,1
353,436301,5,1,3,0
354,436295,1,0,0,0
355,436297,5,0,3,0
356,436299,4,2,2,0
357,436298,4,0,2,0
358,436306,0,4,0,1
359,436303,1,2,0,0
360,436305,1,0,1,0
361,436308,1,1,1,1
362,436310,2,1,1,1
363,436311,3,1,0,1
364,436312,1,3,0,2
365,436309,2,3,1,1
366,436307,0,1,0,1
367,436304,3,3,1,2
368,436281,0,2,0,0
369,436274,1,2,0,1
370,436279,3,2,1,0
371,436313,2,1,1,1
372,436314,2,4,0,3
373,436315,0,2,0,0
374,436316,1,2,0,2
375,436317,2,1,1,0
376,436318,5,0,2,0
377,436319,2,0,2,0
378,436320,2,4,1,2
379,436321,3,1,2,1
380,436322,0,3,0,1
381,444255,0,1,0,0
382,444256,1,3,1,2
383,444257,1,4,0,3
384,444258,2,0,1,0
385,444260,2,2,1,1
386,444261,0,2,0,0
387,444259,2,1,0,1
388,444263,0,3,0,3
389,444262,0,0,0,0
390,444254,0,2,0,2
391,444266,2,1,2,0
392,444271,2,0,1,0
393,444267,2,1,2,0
394,444270,4,1,3,1
395,444265,2,2,2,0
396,444268,1,1,0,1
397,444269,0,1,0,1
398,444272,2,0,1,0
399,444273,1,1,0,0
400,444264,0,2,0,2
401,444281,3,1,1,0
402,444280,1,2,0,1
403,444275,2,1,0,1
404,444283,0,0,0,0
405,444274,3,0,2,0
406,444279,1,2,1,1
407,444277,4,0,1,0
408,444282,1,0,0,0
409,444276,0,2,0,1
410,444278,2,0,1,0
411,444290,3,1,2,0
412,444289,5,1,2,0
413,444287,2,2,1,0
414,444284,0,0,0,0
415,444286,4,2,1,2
416,444291,1,1,1,1
417,444285,3,2,2,1
418,444292,7,0,3,0
419,444293,0,3,0,2
420,444288,0,0,0,0
421,444300,1,1,0,1
422,444298,1,0,0,0
423,444299,1,0,1,0
424,444301,4,2,2,1
425,444297,1,1,1,1
426,444296,0,1,0,0
427,444294,2,0,1,0
428,444303,0,2,0,1
429,444295,0,0,0,0
430,444302,1,1,0,0
431,444310,1,0,0,0
432,444304,1,3,1,2
433,444305,1,0,1,0
434,444308,0,1,0,1
435,444309,1,2,1,0
436,444311,2,0,0,0
437,444313,4,1,2,0
438,444306,1,1,0,1
439,444312,0,0,0,0
440,444307,4,1,2,1
441,444317,0,4,0,1
442,444318,2,0,0,0
443,444320,0,4,0,0
